Sl_No,Slide_No,District,Location,Latitude,Longitude,Material_Involved,Movement,History,Elevation_m,Slope_deg,Rainfall_2023_mm,Rainfall_Dates_2023
5206,HP/KUL/53E11/2016/4,Kullu,JALORI,31.395056,77.513806,Rock            Slide,,,1864.26904296875,42.1943035977724,,
5207,HP/SHI/53E15/2016/45,Shimla,Near Barkal village,31.3951,77.7529,Debris          Slide,,,1553.9459228515625,33.38082682496243,,
5208,HP/SHI/53E11/2016/14,Shimla,Naltinal,31.395222,77.647806,Debris          Slide,,,977.6414184570312,27.0045161570386,,
5209,HP/KUL/53E11/2016/71,Kullu,JALORI,31.395306,77.512667,Debris          Slide,,,1872.00146484375,42.71155861005506,,
5210,HP/KUL/53E11/2016/36,Kullu,JALORI,31.395722,77.508861,Rock            Slide,,,2058.71142578125,33.525872629605516,,
5211,HP/BIL/53A15/2015/300,Bilaspur,,31.396167,76.767306,Debris,Slide,2015,642.7078857421875,19.43901094324202,,
5212,HP/SHI/53E11/2016/60,Shimla,Chalari,31.396722,77.698778,Rock            Slide,,,1201.626708984375,32.28334754877339,,
5213,HP/MAN/53E03/2015/247,Mandi,,31.397972,77.08575,Debris          Slide,,,2045.4122314453125,14.056890368361575,,
5214,HP/KUL/53E11/2016/62,Kullu,LAGAUNI,31.398528,77.533361,Debris          Slide,,,1648.3138427734375,32.20927345217518,,
5215,HP/MAN/53E03/2015/10,Mandi,,31.398644,77.027514,Debris          Slide,,,2035.832275390625,34.08173812358404,,
5216,HP/KUL/53E11/2016/63,Kullu,CHALATHAR,31.399194,77.540333,Rock            Slide,,,1880.94384765625,46.23231637477339,,
5217,HP/MAN/53E03/2015/93,Mandi,,31.399291,77.18943,Debris          Slide,,,1667.7294921875,28.62592105630164,,
5218,HP/MAN/53E03/2015/266,Mandi,,31.399444,77.157833,Rock,Slide,2015,1828.442138671875,25.3684672682631,,
5219,HP/MAN/53E03/2015/354,Mandi,,31.399639,77.027472,Rock            Slide,,,2128.193359375,41.77448528574416,,
5220,HP/MAN/53E03/2015/351,Mandi,,31.399639,77.027056,Debris          Slide,,,2136.430908203125,35.956607885044846,,
5221,HP/SHI/53E15/2016/109,Shimla,Near Jogni - Punar road,31.3998,77.7807,Rock            Slide,,,2190.17578125,42.762273827057875,,
5222,HP/MAN/53E03/2015/248,Mandi,,31.399917,77.08875,Debris          Slide,,,2035.9195556640625,16.06952515466199,,
5223,HP/BIL/53A15/2015/238,Bilaspur,,31.399972,76.767139,Debris,Slide,2010,574.4684448242188,5.313602468220824,,
5224,HP/BIL/53A15/2015/249,Bilaspur,,31.399972,76.767139,Debris,Slide,2015,574.4684448242188,5.313602468220824,,
5225,HP/SHI/53E15/2016/115,Shimla,Near Jogni - Punar road,31.4,77.7643,Rock            Slide,,,2080.262939453125,48.864826463765155,,
5226,HP/SHI/53E11/2016/84,Shimla,Bangu Jhakhar,31.400028,77.429222,Rock            Slide,,,2104.934814453125,45.44787536966573,,
5227,HP/BIL/53A15/2015/260,Bilaspur,,31.400306,76.800167,Debris,Slide,2015,546.6375732421875,13.594209979885823,,
5228,HP/SHI/53E15/2016/108,Shimla,Near Jogni - Punar road,31.4011,77.7665,Rock            Slide,,,2149.0380859375,38.03606822167235,,
5229,HP/BIL/53A07/2018/23,Bilaspur,,31.401139,76.461471,Debris          Slide,,,592.2081909179688,23.883660212549874,,
