Sl_No,Slide_No,District,Location,Latitude,Longitude,Material_Involved,Movement,History
7934,HP/CHA/52D03/2020/35,Chamba,"Jangi,NH-154A",32.48,76.19,Debris          Slide,NA,
7935,HP/CHA/52D07/2020/1,Chamba,Near Bagga .,32.48,76.26,Debris          Slide,NA,
7936,HP/CHA/52D07/2020/9,Chamba,"Right bank of Ravi river,",32.48,76.29,Rock            Slide,NA,
7937,HP/CHA/52D07/2020/11,Chamba,"Bagga, upslope of chamera II",32.48,76.25,Rock            Slide,NA,
7938,HP/CHA/52D07/2020/15,Chamba,Chamba Bharmour road,32.48,76.31,Debris          Slide,NA,
7939,HP/CHA/52D07/2020/31,Chamba,Left bank of Dhunali nala,32.48,76.25,Rock            Slide,NA,
7940,HP/CHA/52D07/2020/32,Chamba,Near Dudain village,32.48,76.26,Rock            Slide,NA,
7941,HP/CHA/52D07/2020/39,Chamba,Chamba bharmour road,32.48,76.27,Debris          Slide,NA,
7942,HP/CHA/52D07/2020/45,Chamba,Right bank of Ravi river.,32.48,76.29,Debris          Slide,NA,
7943,HP/CHA/52D07/2020/53,Chamba,Left bank of Dhaneli nala,32.48,76.25,Rock            Slide,NA,
7944,HP/CHA/52D07/2020/54,Chamba,Bagga Upslope of Chamera II,32.48,76.25,Debris          Slide,NA,
7945,HP/CHA/52D07/2020/55,Chamba,Right bank of Braguna nala,32.48,76.28,Debris          Slide,NA,
7946,HP/CHA/52D07/2020/56,Chamba,Dharwala,32.48,76.29,Debris          Slide,NA,
7947,HP/CHA/52D07/2020/57,Chamba,Lothal,32.48,76.29,Debris          Slide,NA,
7948,HP/CHA/52D07/2020/58,Chamba,Batot link road,32.48,76.33,Rock            Slide,NA,
7949,HP/CHA/52D07/2020/60,Chamba,Right bank of Ravi river.,32.48,76.32,Debris          Slide,NA,
7950,HP/CHA/52D07/2020/64,Chamba,Left bank of Dunali nala,32.48,76.25,Rock            Slide,NA,
7951,HP/CHA/52D07/2020/65,Chamba,Chamba Bharmour road,32.48,76.31,Debris          Slide,NA,
7952,HP/CHA/52D07/2020/69,Chamba,Sunara link road,32.48,76.29,Debris          Slide,NA,
7953,HP/CHA/52D07/2020/85,Chamba,Dunali,32.48,76.32,Debris          Slide,NA,
7954,HP/CHA/52D07/2020/86,Chamba,Batwara link road,32.48,76.29,Rock            Slide,NA,
7955,HP/CHA/52D07/2020/92,Chamba,Right bank of Ravi river,32.48,76.29,Debris          Slide,NA,
7956,HP/CHA/52D07/2020/94,Chamba,Sunara link road,32.48,76.29,Debris          Slide,NA,
7957,HP/CHA/52D07/2020/101,Chamba,Dudain village,32.48,76.26,Rock            Slide,NA,
7958,HP/CHA/52D07/2020/105,Chamba,Dunali,32.48,76.32,Debris          Slide,NA,
7959,HP/CHA/52D07/2020/112,Chamba,Dharwala,32.48,76.28,Debris          Subsidence,NA,
7960,HP/CHA/52D07/2020/126,Chamba,Chamba Bharmour road,32.48,76.27,Debris          Slide,NA,
7961,HP/LAH/52H03/2015/20,Lahaul & Spiti,Koksar-Keylong NH21,32.4813,77.1271,Debris          Slide,NA,
7962,HP/LAH/52H03/2015/19,Lahaul & Spiti,Koksar-Keylong NH21,32.4827,77.1166,Debris          Slide,NA,
7963,HP/LAH/52H03/2015/18,Lahaul & Spiti,Koksar-Keylong NH21,32.4861,77.1063,Debris          Slide,NA,
7964,HP/CHA/52D03/2020/24,Chamba,"Kuran,NH-154A",32.49,76.17,Debris,Slide,2010
7965,HP/CHA/52D03/2020/25,Chamba,Pukhlara,32.49,76.17,Debris          Slide,NA,
7966,HP/CHA/52D03/2020/33,Chamba,"Soana,NH-154A",32.49,76.18,Rock            Slide,NA,
7967,HP/CHA/52D07/2020/3,Chamba,Upslope of Tundah nala,32.49,76.44,Rock            Slide,NA,
7968,HP/CHA/52D07/2020/5,Chamba,Trela village,32.49,76.44,Debris          Slide,NA,
7969,HP/CHA/52D07/2020/6,Chamba,Trela village,32.49,76.44,Rock            Slide,NA,
